List of Rectangle Side Lengths, Number of Blockers, and Ratios R(m,n;r):

Side Lengths: 4 x 2
Number of Blockers | Ratio
15 | 1.0
16 | 1.128084298544565
17 | 1.0
18 | 1.1158542119224821
19 | 1.0
20 | 1.1060487422658423
21 | 1.0
22 | 1.0980238347111184
23 | 1.0
24 | 1.0913455157490568
25 | 1.0
26 | 1.0857107458220627
27 | 1.0
28 | 1.0809015444238526
29 | 1.0
30 | 1.0767571400492897
31 | 1.0
32 | 1.0731563914682802
33 | 1.0
34 | 1.070006317464185
35 | 1.0
36 | 1.0672343946874658
37 | 1.0
38 | 1.0647832548017182
39 | 1.0
40 | 1.0626069523329673
41 | 1.0
42 | 1.0606682862989374
43 | 1.0
44 | 1.0589368444124263
45 | 1.0
46 | 1.0573875525420184
47 | 1.0
48 | 1.0559995837686675
49 | 1.0
50 | 1.054755527511477
51 | 1.0
52 | 1.053640749525653
53 | 1.0
54 | 1.0526428938966599
55 | 1.0
56 | 1.0517514920081772
57 | 1.0
58 | 1.0509576530579219
59 | 1.0
60 | 1.0502538174419347
61 | 1.0
62 | 1.0496335591368238
63 | 1.0
64 | 1.0490914266821092
65 | 1.0
66 | 1.0486228149040453
67 | 1.0
68 | 1.048223861401749
69 | 1.0
70 | 1.047891363224871
71 | 1.0
72 | 1.0476227102411044
73 | 1.0
74 | 1.0474158325149845
75 | 1.0
76 | 1.0472691596637536
77 | 1.0
78 | 1.0471815906705833
79 | 1.0
80 | 1.047152473056764


Side Lengths: 16 x 12
Number of Blockers | Ratio
1 | 1.0
2 | 1.7268041237113403
3 | 1.0
4 | 1.429010337408826
5 | 1.0
6 | 1.3014544481866692
7 | 1.0
8 | 1.2333427342449463
9 | 1.0
10 | 1.1910944008946016
11 | 1.0
12 | 1.1623598364492018
13 | 1.0
14 | 1.1415674801634583
15 | 1.0
16 | 1.1258376938902674
17 | 1.0
18 | 1.113532811829644
19 | 1.0
20 | 1.103652946002012
21 | 1.0
22 | 1.095553149462462
23 | 1.0
24 | 1.088798805015852
25 | 1.0
26 | 1.083086377607183
27 | 1.0
28 | 1.07819748207786
29 | 1.0
30 | 1.0739709984596544
31 | 1.0
32 | 1.0702854712536096
33 | 1.0
34 | 1.0670476245480196
35 | 1.0
36 | 1.0641846496957674
37 | 1.0
38 | 1.061638895031142
39 | 1.0
40 | 1.0593641280148067
41 | 1.0
42 | 1.0573228522447466
43 | 1.0
44 | 1.0554843477131404
45 | 1.0
46 | 1.0538232167133212
47 | 1.0
48 | 1.0523182895390417
49 | 1.0
50 | 1.050951790304213
51 | 1.0
52 | 1.049708693572358
53 | 1.0
54 | 1.0485762228247437
55 | 1.0
56 | 1.0475434556597658
57 | 1.0
58 | 1.0466010102165468
59 | 1.0
60 | 1.0457407940614623
61 | 1.0
62 | 1.0449558015805451
63 | 1.0
64 | 1.0442399493852454
65 | 1.0
66 | 1.0435879417666176
67 | 1.0
68 | 1.0429951600972478
69 | 1.0
70 | 1.0424575714692665
71 | 1.0
72 | 1.0419716529018062
73 | 1.0
74 | 1.041534328244679
75 | 1.0
76 | 1.0411429155127523
77 | 1.0
78 | 1.0407950828549724
79 | 1.0
80 | 1.0404888117277196
81 | 1.0
82 | 1.040222366129548
83 | 1.0
84 | 1.0399942669821525
85 | 1.0
86 | 1.039803270924696
87 | 1.0
88 | 1.0396483529360443
89 | 1.0
90 | 1.0395286923201263
91 | 1.0
92 | 1.0394436616898355
93 | 1.0
94 | 1.0393928186695618
95 | 1.0
96 | 1.0393759001094964


Side Lengths: 16 x 14
Number of Blockers | Ratio
1 | 1.0
2 | 1.7300884955752212
3 | 1.0
4 | 1.4280147428122758
5 | 1.0
6 | 1.3002123263756196
7 | 1.0
8 | 1.232005989707748
9 | 1.0
10 | 1.1896902241630387
11 | 1.0
12 | 1.1608996972753693
13 | 1.0
14 | 1.1400573375750747
15 | 1.0
16 | 1.124280820162875
17 | 1.0
18 | 1.1119309821836456
19 | 1.0
20 | 1.1020070229780903
21 | 1.0
22 | 1.093863397785505
23 | 1.0
24 | 1.087065072955649
25 | 1.0
26 | 1.0813082068492386
27 | 1.0
28 | 1.0763741768595667
29 | 1.0
30 | 1.0721016702697568
31 | 1.0
32 | 1.068369068211132
33 | 1.0
34 | 1.065082950793775
35 | 1.0
36 | 1.0621703780359208
37 | 1.0
38 | 1.059573574863536
39 | 1.0
40 | 1.0572461898446424
41 | 1.0
42 | 1.0551506096479886
43 | 1.0
44 | 1.053255997320225
45 | 1.0
46 | 1.051536836598423
47 | 1.0
48 | 1.0499718362740906
49 | 1.0
50 | 1.04854309484973
51 | 1.0
52 | 1.0472354561152892
53 | 1.0
54 | 1.0460360066281416
55 | 1.0
56 | 1.0449336799548452
57 | 1.0
58 | 1.043918942140599
59 | 1.0
60 | 1.0429835396228841
61 | 1.0
62 | 1.0421202956130797
63 | 1.0
64 | 1.0413229444361762
65 | 1.0
66 | 1.0405859958472221
67 | 1.0
68 | 1.0399046232075335
69 | 1.0
70 | 1.0392745707923168
71 | 1.0
72 | 1.038692076545422
73 | 1.0
74 | 1.0381538073889236
75 | 1.0
76 | 1.0376568048010326
77 | 1.0
78 | 1.037198438842882
79 | 1.0
80 | 1.036776369177521
81 | 1.0
